Div,Y,Team,priorGD
EPL,15,Newcastle,-0.5411441772460404
EPL,15,Norwich,-0.5093896921429468
EPL,15,Southampton,0.47394245488924397
EPL,15,Stoke,0.05867974174299124
EPL,15,Sunderland,-0.518074026515693
EPL,15,Swansea,-0.07974116263909298
EPL,15,Tottenham,0.10482004320368599
EPL,15,Watford,-0.5093896921429468
EPL,15,West Brom,-0.3104426699425667
EPL,15,West Ham,-0.07974116263909298
EPL,16,Arsenal,0.630819479855606
EPL,16,Bournemouth,-0.5457582073921099
EPL,16,Burnley,-0.5370738730193637
EPL,16,Chelsea,0.10020601305761646
EPL,16,Crystal Palace,-0.3150567000886361
EPL,16,Everton,0.054065711596921744
EPL,16,Hull,-0.5370738730193637
EPL,16,Leicester,0.7000299320466481
EPL,16,Liverpool,0.2616970681700481
EPL,16,Man City,0.6538896305859534
EPL,16,Man United,0.28476721890039547
EPL,16,Middlesbrough,-0.5370738730193637
EPL,16,Southampton,0.3770478218217849
EPL,16,Stoke,-0.3611970015493309
EPL,16,Sunderland,-0.3611970015493309
EPL,16,Swansea,-0.2689163986279414
EPL,16,Tottenham,0.7461702335073428
EPL,16,Watford,-0.2689163986279414
EPL,16,West Brom,-0.3611970015493309
EPL,16,West Ham,0.28476721890039547
EPL,17,Arsenal,0.7104114998753044
EPL,17,Bournemouth,-0.3277452829903272
EPL,17,Brighton,-0.5497624559210548
EPL,17,Burnley,-0.4200258859117167
EPL,17,Chelsea,1.1487443637519044
EPL,17,Crystal Palace,-0.3508154337206746
EPL,17,Everton,0.36435923892009386
EPL,17,Huddersfield,-0.5497624559210548
EPL,17,Leicester,-0.39695573518136934
EPL,17,Liverpool,0.7796219520663464
EPL,17,Man City,0.8949727057180834
EPL,17,Man United,0.5258502940325255
EPL,17,Newcastle,-0.5497624559210548
EPL,17,Southampton,-0.21239452933859038
EPL,17,Stoke,-0.39695573518136934
EPL,17,Swansea,-0.6276572424848431
EPL,17,Tottenham,1.3333055695946834
EPL,17,Watford,-0.6968676946758852
EPL,17,West Brom,-0.23546468006893773
EPL,17,West Ham,-0.44309603664206404
EPL,18,Arsenal,0.5062406659117302
EPL,18,Bournemouth,-0.3934952125718172
EPL,18,Brighton,-0.48577581549320664
EPL,18,Burnley,-0.09358325307730139
EPL,18,Cardiff,-0.5232317825811552
EPL,18,Chelsea,0.5293108166420776
EPL,18,Crystal Palace,-0.255074308189733
EPL,18,Everton,-0.34735491111112243
EPL,18,Fulham,-0.5232317825811552
EPL,18,Huddersfield,-0.7164773227966804
EPL,18,Leicester,-0.11665340380764878
EPL,18,Liverpool,1.0368541327097196
EPL,18,Man City,1.798169106811183
EPL,18,Man United,0.8984332283276355
EPL,18,Newcastle,-0.20893400672903825
EPL,18,Southampton,-0.4627056647628593
EPL,18,Tottenham,0.8522929268669408
EPL,18,Watford,-0.48577581549320664
EPL,18,West Ham,-0.48577581549320664
EPL,18,Wolves,-0.5232317825811552
La_Liga,15,Ath Bilbao,-0.0197587707401898
La_Liga,15,Ath Madrid,0.8338368062826629
La_Liga,15,Barcelona,2.0104144935303787
La_Liga,15,Betis,-0.5416879031654331
La_Liga,15,Celta,0.026381530720504934
La_Liga,15,Eibar,-0.5273020868078321
La_Liga,15,Espanol,-0.13510952439192667
La_Liga,15,Getafe,-0.7580035941113057
La_Liga,15,Granada,-0.8502841970326951
La_Liga,15,La Coruna,-0.6195826897292215
La_Liga,15,Las Palmas,-0.5416879031654331
La_Liga,15,Levante,-0.8041438955720004
La_Liga,15,Malaga,-0.18124982585262137
La_Liga,15,Real Madrid,1.8027831369572522
La_Liga,15,Sevilla,0.5569949975184945
La_Liga,15,Sociedad,-0.20431997658296877
La_Liga,15,Sp Gijon,-0.5416879031654331
La_Liga,15,Valencia,0.8338368062826629
La_Liga,15,Vallecano,-0.5503722375381793
La_Liga,15,Villarreal,0.2109427365632839
La_Liga,16,Alaves,-0.5209247675081204
La_Liga,16,Ath Bilbao,0.2778461736812913
La_Liga,16,Ath Madrid,1.0160909970524068
La_Liga,16,Barcelona,1.892756724805607
La_Liga,16,Betis,-0.4373284989594772
La_Liga,16,Celta,-0.2066269916560035
La_Liga,16,Eibar,-0.29890759457739297
La_Liga,16,Espanol,-0.806450910645035
La_Liga,16,Granada,-0.552679252611214
La_Liga,16,La Coruna,-0.3911881974987825
La_Liga,16,Las Palmas,-0.2066269916560035
La_Liga,16,Leganes,-0.5209247675081204
La_Liga,16,Malaga,0.04714466637781755
La_Liga,16,Osasuna,-0.5209247675081204
La_Liga,16,Real Madrid,1.7312656696931754
La_Liga,16,Sevilla,0.0010043649171228176
La_Liga,16,Sociedad,-0.09127623800426665
La_Liga,16,Sp Gijon,-0.5296091018808666
La_Liga,16,Valencia,-0.06820608727391929
La_Liga,16,Villarreal,0.18556557075990177
La_Liga,17,Alaves,-0.12818847917282244
La_Liga,17,Ath Bilbao,0.14865332959134597
La_Liga,17,Ath Madrid,0.9099683036928092
La_Liga,17,Barcelona,1.7404937299853145
La_Liga,17,Betis,-0.6126616445101172
La_Liga,17,Celta,-0.4511705893976856
La_Liga,17,Eibar,0.03330257593960914
La_Liga,17,Espanol,-0.10511832844247507
La_Liga,17,Getafe,-0.5809071594070236
La_Liga,17,Girona,-0.5809071594070236
La_Liga,17,La Coruna,-0.4973108908583803
La_Liga,17,Las Palmas,-0.5665213430494226
La_Liga,17,Leganes,-0.5203810415887278
La_Liga,17,Levante,-0.5809071594070236
La_Liga,17,Malaga,-0.2204690820942119
