Div,Date,Y,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,pH,pD,pA,home_xG,away_xG
EPL,2014-08-16,14,Arsenal,Crystal Palace,2,1,1,1,14,4,6,2,0.7780377995955025,0.1519887794558656,0.06997342094863193,1.55411,0.15815099999999999
EPL,2014-08-16,14,Leicester,Everton,2,2,1,2,11,13,3,3,0.3119719049691585,0.2898200537287449,0.39820804130209664,1.2783,0.613273
EPL,2014-08-16,14,Man United,Swansea,1,2,0,1,14,5,5,4,0.7153727057391258,0.19216874644364756,0.09245854781722665,1.16635,0.27807600000000005
EPL,2014-08-16,14,QPR,Hull,0,1,0,0,19,11,6,4,0.39511284421626347,0.3005766422258691,0.3043105135578674,1.90067,1.1175700000000002
EPL,2014-08-16,14,Stoke,Aston Villa,0,1,0,0,12,7,2,2,0.5023784901758014,0.28231644260599786,0.21530506721820056,0.423368,0.909774
EPL,2014-08-16,14,West Brom,Sunderland,2,2,1,1,10,7,5,2,0.4436222754772477,0.293534499642131,0.2628432248806213,1.68343,0.991901
EPL,2014-08-16,14,West Ham,Tottenham,0,1,0,0,18,10,4,4,0.2476582025561659,0.2762609808795541,0.4760808165642801,1.8531,1.01706
EPL,2014-08-17,14,Liverpool,Southampton,2,1,1,0,12,12,5,6,0.7259958583610943,0.17884934466924768,0.09515479696965799,1.33192,1.5524799999999999
EPL,2014-08-17,14,Newcastle,Man City,0,2,0,1,12,13,0,5,0.1691068104250698,0.2291634346881787,0.6017297548867515,0.965583,1.48053
EPL,2014-08-18,14,Burnley,Chelsea,1,3,1,3,9,11,2,3,0.10039895487146844,0.20392885428154817,0.6956721908469834,0.371141,2.12996
EPL,2014-08-23,14,Aston Villa,Newcastle,0,0,0,0,9,11,0,4,0.3827893175074184,0.29164900381517594,0.3255616786774057,0.507525,0.699295
EPL,2014-08-23,14,Chelsea,Leicester,2,0,0,0,27,6,10,4,0.8099983781928543,0.13462885132051558,0.05537277048663015,2.0293900000000002,0.550894
EPL,2014-08-23,14,Crystal Palace,West Ham,1,3,0,2,9,17,4,8,0.40158011008349875,0.3014939903396114,0.29692589957689,0.617283,1.3395700000000001
EPL,2014-08-23,14,Everton,Arsenal,2,2,2,0,8,13,2,3,0.36050156739811906,0.28422152560083597,0.355276907001045,1.33429,1.43355
EPL,2014-08-23,14,Southampton,West Brom,0,0,0,0,8,8,2,2,0.5270708174039687,0.26073184052430365,0.21219734207172766,0.665853,0.665791
EPL,2014-08-23,14,Swansea,Burnley,1,0,1,0,10,12,5,1,0.5983216159775958,0.23759018164727774,0.1640882023751266,0.914215,0.8433309999999999
EPL,2014-08-24,14,Hull,Stoke,1,1,1,0,9,19,2,3,0.3953946132752339,0.30835806318320125,0.2962473235415649,0.870175,1.6091600000000001
EPL,2014-08-24,14,Sunderland,Man United,1,1,1,1,11,10,3,3,0.19900873299442415,0.2506598545349617,0.5503314124706142,0.666489,0.941557
EPL,2014-08-24,14,Tottenham,QPR,4,0,3,0,18,9,5,1,0.6579867873227879,0.21129317092908492,0.13072004174812718,2.3889400000000003,1.07617
EPL,2014-08-25,14,Man City,Liverpool,3,1,1,0,9,11,4,3,0.5362090143724279,0.2422870361238378,0.22150394950373437,1.31375,0.9018889999999999
EPL,2014-08-30,14,Burnley,Man United,0,0,0,0,9,7,3,2,0.16042795951631855,0.23450115613509728,0.6050708843485842,0.513746,0.46728100000000006
EPL,2014-08-30,14,Everton,Chelsea,3,6,1,2,17,12,7,8,0.25848264128874476,0.29418895209740015,0.4473284066138551,1.4491,2.02665
EPL,2014-08-30,14,Man City,Stoke,0,1,0,0,16,7,2,2,0.8192030893452695,0.12603124451465686,0.05476566614007373,0.891768,0.299792
EPL,2014-08-30,14,Newcastle,Crystal Palace,3,3,1,1,18,12,4,7,0.5642877780988154,0.2597515169026293,0.17596070499855535,1.69776,1.6605599999999998
