GameID,isHome,pA,pH,pD,Div,Y,Date,Team,G,S,xG,GD,SD,xGD
0,False,0.7134840430093907,0.08984128115099864,0.1966746758396108,Ligue_1,14,2014-08-08,Paris SG,2,16,2.65538,0,7,1.28751
0,True,0.7134840430093907,0.08984128115099864,0.1966746758396108,Ligue_1,14,2014-08-08,Reims,2,9,1.3678700000000001,0,-7,-1.28751
1,False,0.2968612496333235,0.3860369609856263,0.31710178938105016,Ligue_1,14,2014-08-09,Bordeaux,1,7,0.750184,1,-8,-0.26737600000000006
1,True,0.2968612496333235,0.3860369609856263,0.31710178938105016,Ligue_1,14,2014-08-09,Montpellier,0,15,1.01756,-1,8,0.26737600000000006
2,False,0.12735121800801727,0.6367560900400864,0.2358926919518964,Ligue_1,14,2014-08-09,Metz,0,2,0.057137099999999996,0,-12,-1.4875428999999998
2,True,0.12735121800801727,0.6367560900400864,0.2358926919518964,Ligue_1,14,2014-08-09,Lille,0,14,1.5446799999999998,0,12,1.4875428999999998
3,False,0.4046966467025344,0.28270113581249506,0.3126022174849705,Ligue_1,14,2014-08-09,St Etienne,2,7,1.49532,2,1,0.86238
3,True,0.4046966467025344,0.28270113581249506,0.3126022174849705,Ligue_1,14,2014-08-09,Guingamp,0,6,0.63294,-2,-1,-0.86238
4,False,0.30290368486389924,0.39973355133678506,0.2973627637993157,Ligue_1,14,2014-08-09,Caen,3,12,1.23869,3,2,0.424953
4,True,0.30290368486389924,0.39973355133678506,0.2973627637993157,Ligue_1,14,2014-08-09,Evian Thonon Gaillard,0,10,0.813737,-3,-2,-0.424953
5,False,0.4625588063357738,0.2452258998413273,0.29221529382289896,Ligue_1,14,2014-08-09,Marseille,3,9,1.31751,0,-4,-0.07938
5,True,0.4625588063357738,0.2452258998413273,0.29221529382289896,Ligue_1,14,2014-08-09,Bastia,3,13,1.39689,0,4,0.07938
6,False,0.3421926910299003,0.3421926910299003,0.3156146179401993,Ligue_1,14,2014-08-09,Toulouse,2,11,1.56361,-1,-11,-0.6512
6,True,0.3421926910299003,0.3421926910299003,0.3156146179401993,Ligue_1,14,2014-08-09,Nice,3,22,2.21481,1,11,0.6512
7,False,0.22388778842550447,0.4785052733015686,0.2976069382729268,Ligue_1,14,2014-08-09,Lens,0,5,0.167128,-1,-9,-0.857872
7,True,0.22388778842550447,0.4785052733015686,0.2976069382729268,Ligue_1,14,2014-08-09,Nantes,1,14,1.025,1,9,0.857872
8,False,0.1967758018946319,0.526508226691042,0.2767159714143261,Ligue_1,14,2014-08-10,Rennes,0,7,0.375946,-2,-12,-1.6880540000000002
8,True,0.1967758018946319,0.526508226691042,0.2767159714143261,Ligue_1,14,2014-08-10,Lyon,2,19,2.064,2,12,1.6880540000000002
9,False,0.10395314787701317,0.6881405563689604,0.2079062957540264,Ligue_1,14,2014-08-10,Lorient,2,9,1.6254,1,-3,-0.46792999999999996
9,True,0.10395314787701317,0.6881405563689604,0.2079062957540264,Ligue_1,14,2014-08-10,Monaco,1,12,2.09333,-1,3,0.46792999999999996
10,False,0.4336939822835289,0.2623149086392312,0.30399110907723986,Ligue_1,14,2014-08-15,Lille,1,8,0.945961,1,-3,0.6721620000000001
10,True,0.4336939822835289,0.2623149086392312,0.30399110907723986,Ligue_1,14,2014-08-15,Caen,0,11,0.27379899999999996,-1,3,-0.6721620000000001
11,False,0.3481792390501729,0.3373362869690257,0.31448447398080137,Ligue_1,14,2014-08-16,Guingamp,1,10,1.00409,1,-4,0.09532399999999996
11,True,0.3481792390501729,0.3373362869690257,0.31448447398080137,Ligue_1,14,2014-08-16,Lens,0,14,0.908766,-1,4,-0.09532399999999996
12,False,0.17786272004143278,0.5475773628241863,0.2745599171343807,Ligue_1,14,2014-08-16,Nice,0,9,0.326763,0,-4,-0.7068070000000001
12,True,0.17786272004143278,0.5475773628241863,0.2745599171343807,Ligue_1,14,2014-08-16,Lorient,0,13,1.03357,0,4,0.7068070000000001
13,False,0.2822006860292686,0.4068393223588622,0.3109599916118692,Ligue_1,14,2014-08-16,Nantes,1,6,0.623268,0,-6,-0.5945119999999998
13,True,0.2822006860292686,0.4068393223588622,0.3109599916118692,Ligue_1,14,2014-08-16,Metz,1,12,1.2177799999999999,0,6,0.5945119999999998
14,False,0.04528054249152357,0.8465492726676145,0.10817018484086184,Ligue_1,14,2014-08-16,Bastia,0,5,0.16453900000000002,-2,-10,-1.343041
14,True,0.04528054249152357,0.8465492726676145,0.10817018484086184,Ligue_1,14,2014-08-16,Paris SG,2,15,1.50758,2,10,1.343041
15,False,0.18607068607068608,0.5426195426195426,0.2713097713097713,Ligue_1,14,2014-08-16,Evian Thonon Gaillard,2,9,1.06246,-4,0,-0.75742
15,True,0.18607068607068608,0.5426195426195426,0.2713097713097713,Ligue_1,14,2014-08-16,Rennes,6,9,1.81988,4,0,0.75742
16,False,0.3120905278127389,0.3891806183481565,0.29872885383910475,Ligue_1,14,2014-08-16,Lyon,1,18,1.28964,-1,8,-0.14992000000000005
16,True,0.3120905278127389,0.3891806183481565,0.29872885383910475,Ligue_1,14,2014-08-16,Toulouse,2,10,1.43956,1,-8,0.14992000000000005
17,False,0.06997342094863193,0.7780377995955025,0.1519887794558656,EPL,14,2014-08-16,Crystal Palace,1,4,0.15815099999999999,-1,-10,-1.3959590000000002
17,True,0.06997342094863193,0.7780377995955025,0.1519887794558656,EPL,14,2014-08-16,Arsenal,2,14,1.55411,1,10,1.3959590000000002
18,False,0.4760808165642801,0.2476582025561659,0.2762609808795541,EPL,14,2014-08-16,Tottenham,1,10,1.01706,1,-8,-0.8360399999999999
18,True,0.4760808165642801,0.2476582025561659,0.2762609808795541,EPL,14,2014-08-16,West Ham,0,18,1.8531,-1,8,0.8360399999999999
19,False,0.2628432248806213,0.4436222754772477,0.293534499642131,EPL,14,2014-08-16,Sunderland,2,7,0.991901,0,-3,-0.691529
19,True,0.2628432248806213,0.4436222754772477,0.293534499642131,EPL,14,2014-08-16,West Brom,2,10,1.68343,0,3,0.691529
20,False,0.21530506721820056,0.5023784901758014,0.28231644260599786,EPL,14,2014-08-16,Aston Villa,1,7,0.909774,1,-5,0.48640599999999995
20,True,0.21530506721820056,0.5023784901758014,0.28231644260599786,EPL,14,2014-08-16,Stoke,0,12,0.423368,-1,5,-0.48640599999999995
21,False,0.3043105135578674,0.39511284421626347,0.3005766422258691,EPL,14,2014-08-16,Hull,1,11,1.1175700000000002,1,-8,-0.7830999999999999
21,True,0.3043105135578674,0.39511284421626347,0.3005766422258691,EPL,14,2014-08-16,QPR,0,19,1.90067,-1,8,0.7830999999999999
22,False,0.09245854781722664,0.7153727057391258,0.1921687464436476,EPL,14,2014-08-16,Swansea,2,5,0.27807600000000005,1,-9,-0.888274
22,True,0.09245854781722664,0.7153727057391258,0.1921687464436476,EPL,14,2014-08-16,Man United,1,14,1.16635,-1,9,0.888274
23,False,0.39820804130209664,0.3119719049691585,0.2898200537287449,EPL,14,2014-08-16,Everton,2,13,0.613273,0,2,-0.665027
23,True,0.39820804130209664,0.3119719049691585,0.2898200537287449,EPL,14,2014-08-16,Leicester,2,11,1.2783,0,-2,0.665027
24,False,0.6017297548867515,0.1691068104250698,0.2291634346881787,EPL,14,2014-08-17,Man City,2,13,1.48053,2,1,0.5149469999999999
24,True,0.6017297548867515,0.1691068104250698,0.2291634346881787,EPL,14,2014-08-17,Newcastle,0,12,0.965583,-2,-1,-0.5149469999999999
25,False,0.095154796969658,0.7259958583610943,0.17884934466924768,EPL,14,2014-08-17,Southampton,1,12,1.5524799999999999,-1,0,0.22055999999999987
25,True,0.095154796969658,0.7259958583610943,0.17884934466924768,EPL,14,2014-08-17,Liverpool,2,12,1.33192,1,0,-0.22055999999999987
26,False,0.373860088886155,0.3231042490042598,0.3030356621095852,Ligue_1,14,2014-08-17,Monaco,1,9,0.575148,-3,0,-3.1899719999999996
26,True,0.373860088886155,0.3231042490042598,0.3030356621095852,Ligue_1,14,2014-08-17,Bordeaux,4,9,3.7651199999999996,3,0,3.1899719999999996
27,False,0.14137690678534087,0.6135224256722339,0.2451006675424251,Ligue_1,14,2014-08-17,Montpellier,2,10,1.5595299999999999,2,-12,0.45730000000000004
27,True,0.14137690678534087,0.6135224256722339,0.2451006675424251,Ligue_1,14,2014-08-17,Marseille,0,22,1.1022299999999998,-2,12,-0.45730000000000004
28,False,0.12378810207089115,0.6433723726052897,0.2328395253238191,Ligue_1,14,2014-08-17,Reims,1,7,0.285467,-2,-12,-2.143453
28,True,0.12378810207089115,0.6433723726052897,0.2328395253238191,Ligue_1,14,2014-08-17,St Etienne,3,19,2.42892,2,12,2.143453
