Div,Date,Y,Team_Home,Team_Away,G_Home,G_Away,S_Home,S_Away,pH,pD,pA,xG_Home,xG_Away,GameID,GD_Home,GD_Away,SD_Home,SD_Away,xGD_Home,xGD_Away
Ligue_1,2014-08-17,14,Marseille,Montpellier,0,2,22,10,0.6135224256722339,0.2451006675424251,0.14137690678534087,1.1022299999999998,1.5595299999999999,27,-2,2,12,-12,-0.45730000000000004,0.45730000000000004
Ligue_1,2014-08-17,14,St Etienne,Reims,3,1,19,7,0.6433723726052897,0.2328395253238191,0.12378810207089115,2.42892,0.285467,28,2,-2,12,-12,2.143453,-2.143453
EPL,2014-08-18,14,Burnley,Chelsea,1,3,9,11,0.10039895487146844,0.20392885428154814,0.6956721908469834,0.371141,2.12996,29,-2,2,-2,2,-1.7588190000000001,1.7588190000000001
Ligue_1,2014-08-22,14,Evian Thonon Gaillard,Paris SG,0,0,9,7,0.09496705992575284,0.1910470150850106,0.7139859249892366,0.632883,0.388902,30,0,0,2,-2,0.24398099999999995,-0.24398099999999995
Bundesliga,2014-08-22,14,Bayern Munich,Wolfsburg,2,1,17,9,0.7665755675265794,0.15165637193725218,0.08176806053616846,2.57012,1.19842,31,1,-1,8,-8,1.3717000000000001,-1.3717000000000001
Ligue_1,2014-08-23,14,Reims,Caen,0,2,12,16,0.39526633946675255,0.2967501089613613,0.3079835515718861,1.8721,1.80265,32,-2,2,-4,4,0.06945000000000001,-0.06945000000000001
Bundesliga,2014-08-23,14,Hoffenheim,Augsburg,2,0,10,12,0.50017217518988,0.255962784170278,0.24386504063984196,1.52873,0.280777,33,2,-2,-2,2,1.2479529999999999,-1.2479529999999999
Bundesliga,2014-08-23,14,Hertha,Werder Bremen,2,2,19,9,0.4974276935909006,0.2670115957422546,0.23556071066684475,1.75585,1.1945299999999999,34,0,0,10,-10,0.56132,-0.56132
Bundesliga,2014-08-23,14,Hannover,Schalke 04,2,1,8,12,0.3116233458576198,0.2741937261037716,0.41418292803860857,1.17979,0.956665,35,1,-1,-4,4,0.2231249999999999,-0.2231249999999999
Bundesliga,2014-08-23,14,FC Koln,Hamburg,0,0,10,19,0.4807045426230778,0.267203614973046,0.2520918424038763,0.5222760000000001,0.9133370000000001,36,0,0,-9,9,-0.391061,0.391061
Bundesliga,2014-08-23,14,Ein Frankfurt,Freiburg,1,0,10,13,0.4805226301270197,0.2700457756085731,0.2494315942644072,1.75331,1.38084,37,1,-1,-3,3,0.37246999999999986,-0.37246999999999986
La_Liga,2014-08-23,14,Granada,La Coruna,2,1,10,7,0.4781820665482786,0.2943763472744658,0.2274415861772555,0.548351,0.379371,38,1,-1,3,-3,0.16898000000000002,-0.16898000000000002
Ligue_1,2014-08-23,14,Guingamp,Marseille,0,1,4,16,0.3217715930236589,0.30467747714427706,0.37355092983206384,0.4520520000000001,0.7084590000000001,39,-1,1,-12,12,-0.25640699999999994,0.25640699999999994
Ligue_1,2014-08-23,14,Bastia,Toulouse,1,0,8,14,0.3439425051334703,0.2915811088295688,0.364476386036961,1.14876,0.714399,40,1,-1,-6,6,0.434361,-0.434361
EPL,2014-08-23,14,Swansea,Burnley,1,0,10,12,0.5983216159775958,0.2375901816472777,0.1640882023751266,0.914215,0.8433309999999999,41,1,-1,-2,2,0.07088400000000006,-0.07088400000000006
EPL,2014-08-23,14,Southampton,West Brom,0,0,8,8,0.5270708174039687,0.26073184052430365,0.21219734207172766,0.665853,0.665791,42,0,0,0,0,6.20000000000065e-05,-6.20000000000065e-05
EPL,2014-08-23,14,Everton,Arsenal,2,2,8,13,0.3605015673981191,0.284221525600836,0.355276907001045,1.33429,1.43355,43,0,0,-5,5,-0.09926000000000013,0.09926000000000013
EPL,2014-08-23,14,Crystal Palace,West Ham,1,3,9,17,0.4015801100834988,0.3014939903396114,0.29692589957689003,0.617283,1.3395700000000001,44,-2,2,-8,8,-0.7222870000000001,0.7222870000000001
