Div,Date,Y,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,pH,pD,pA
EPL,2014-09-27,14,Hull,Man City,2,4,2,2,0.144418443181526,0.22699102527837067,0.6285905315401035
EPL,2014-09-27,14,Liverpool,Everton,1,1,0,0,0.5001039690172329,0.2572713331427235,0.24262469784004367
EPL,2014-09-27,14,Man United,West Ham,2,1,2,1,0.7038317341493096,0.17983935854182723,0.11632890730886328
EPL,2014-09-27,14,Southampton,QPR,2,1,0,0,0.6675191861155045,0.21193373727641288,0.1205470766080825
EPL,2014-09-27,14,Sunderland,Swansea,0,0,0,0,0.3314792136396064,0.30377042488335454,0.3647503614770391
EPL,2014-09-28,14,West Brom,Burnley,4,0,2,0,0.48793428202321437,0.2834531522736014,0.2286125657031843
EPL,2014-09-29,14,Stoke,Newcastle,1,0,1,0,0.4598503532165698,0.28639802700330225,0.25375161978012795
EPL,2014-10-04,14,Aston Villa,Man City,0,2,0,0,0.12194114963914894,0.21479786752629082,0.6632609828345601
EPL,2014-10-04,14,Hull,Crystal Palace,2,0,0,0,0.46269172786744667,0.28514722763924044,0.25216104449331284
EPL,2014-10-04,14,Leicester,Burnley,2,2,2,1,0.547021407564462,0.2632172901990288,0.1897613022365091
EPL,2014-10-04,14,Liverpool,West Brom,2,1,1,0,0.6715523761725348,0.20511850820332655,0.1233291156241385
EPL,2014-10-04,14,Sunderland,Stoke,3,1,2,1,0.384382449584434,0.30345982861929,0.312157721796276
EPL,2014-10-04,14,Swansea,Newcastle,2,2,1,1,0.5106053158909599,0.26859238534538166,0.22080229876365834
EPL,2014-10-05,14,Chelsea,Arsenal,2,0,1,0,0.5870555321428391,0.23911774114110762,0.1738267267160534
EPL,2014-10-05,14,Man United,Everton,2,1,1,0,0.5911720107249375,0.23421134553780337,0.1746166437372591
EPL,2014-10-05,14,Tottenham,Southampton,1,0,1,0,0.45347866076053744,0.28391707456311915,0.26260426467634346
EPL,2014-10-05,14,West Ham,QPR,2,0,1,0,0.513361379392072,0.2716122533625645,0.21502636724536353
EPL,2014-10-18,14,Arsenal,Hull,2,2,1,1,0.6815142351514586,0.20151550279632452,0.11697026205221697
EPL,2014-10-18,14,Burnley,West Ham,1,3,0,0,0.3462710877532148,0.29078551286100823,0.36294339938577697
EPL,2014-10-18,14,Crystal Palace,Chelsea,1,2,0,1,0.11522983138340322,0.20928495016216397,0.6754852184544327
EPL,2014-10-18,14,Everton,Aston Villa,3,0,1,0,0.6271929824561403,0.2280701754385965,0.14473684210526316
EPL,2014-10-18,14,Man City,Tottenham,4,1,2,1,0.6684141052234585,0.20512917216669813,0.1264567226098435
EPL,2014-10-18,14,Newcastle,Leicester,1,0,0,0,0.4335574779534368,0.271728224344076,0.29471429770248725
EPL,2014-10-18,14,Southampton,Sunderland,8,0,3,0,0.6172495736038145,0.23821039369661776,0.14454003269956778
EPL,2014-10-19,14,QPR,Liverpool,2,3,0,0,0.1505375391078535,0.22825691976353601,0.6212055411286106
EPL,2014-10-19,14,Stoke,Swansea,2,1,1,1,0.38446579167407596,0.2961896582383364,0.3193445500875875
EPL,2014-10-20,14,West Brom,Man United,2,2,1,0,0.19388281914967836,0.24662675987553545,0.5594904209747861
EPL,2014-10-25,14,Liverpool,Hull,0,0,0,0,0.6797061872785054,0.20222663423162146,0.1180671784898731
EPL,2014-10-25,14,Southampton,Stoke,1,0,1,0,0.5951612903225807,0.23951612903225808,0.16532258064516128
EPL,2014-10-25,14,Sunderland,Arsenal,0,2,0,1,0.188209070072485,0.24824538103231564,0.5635455488951994
EPL,2014-10-25,14,Swansea,Leicester,2,0,1,0,0.5113812238118607,0.2639386961609603,0.224680080027179
EPL,2014-10-25,14,West Brom,Crystal Palace,2,2,0,2,0.5185239947879605,0.270721091201449,0.21075491401059035
EPL,2014-10-25,14,West Ham,Man City,2,1,1,0,0.14715422087932417,0.20807794289942655,0.6447678362212493
EPL,2014-10-26,14,Burnley,Everton,1,3,1,2,0.21836219922213815,0.25733498018566936,0.5243028205921926
EPL,2014-10-26,14,Man United,Chelsea,1,1,0,0,0.33563987815426277,0.2800195554886992,0.3843405663570382
EPL,2014-10-26,14,Tottenham,Newcastle,1,2,1,0,0.5562546605698208,0.24911150193457618,0.19463383749560326
EPL,2014-10-27,14,QPR,Aston Villa,2,0,1,0,0.42066835364935495,0.2952280915671678,0.2841035547834774
EPL,2014-11-01,14,Arsenal,Burnley,3,0,0,0,0.7675368898978433,0.15820406104174548,0.07425904906041114
